prompt,A,B,C,D,E,answer,wiki_fact
What did Fresnel predict and verify with regards to total internal reflections?,"Fresnel predicted and verified that three total internal reflections at 75°27' would give a precise circular polarization if two of the reflections had water as the external medium and the third had air, but not if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that eight total internal reflections at 68°27' would give an accurate circular polarization if four of the reflections had water as the external medium while the other four had air, but not if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that four total internal reflections at 30°27' would result in circular polarization if two of the reflections had water as the external medium while the other two had air, regardless if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that two total internal reflections at 68°27' would give an accurate linear polarization if one of the reflections had water as the external medium and the other had air, but not if the reflecting surfaces were all wet or all dry.","Fresnel predicted and verified that four total internal reflections at 68°27' would give a precise circular polarization if two of the reflections had water as the external medium while the other two had air, but not if the reflecting surfaces were all wet or all dry.",E,"For added confidence, Fresnel predicted and verified that four total internal reflections at 68°27' would give an accurate circular polarization if two of the reflections had water as the external medium while the other two had air, but not if the reflecting surfaces were all wet or all dry.

Significance 

In summary, the invention of the rhomb was not a single event in Fresnel's career, but a process spanning a large part of it. Arguably, the calculation of the phase shift on total internal reflection marked not only the completion of his theory of the rhomb, but also the essential completion of his reconstruction of physical optics on the transverse-wave hypothesis (see Augustin-Jean Fresnel)."
What is the relationship between the Wigner function and the density matrix operator?,"The Wigner function W(x, p) is the Wigner transform of the density matrix operator ρ̂, and the trace of an operator with the density matrix Wigner-transforms to the equivalent phase-space integral overlap of g(x,p) with the Wigner function.","The Wigner function W(x, p) is a source function used for the density matrix operator ρ̂ and the product of these two functions creates the phase space wave function g(x, p).","The Wigner function W(x, p) is the derivative of the density matrix operator ρ̂ with respect to the phase space coordinate.","The Wigner function W(x, p) represents the Hamiltonian H(x,p) of the density matrix operator ρ̂, while the Moyal bracket {{⋅, ⋅}} represents the Poisson bracket in the phase space.","The Wigner function W(x, p) is the time derivative of the density matrix operator ρ̂ with respect to the phase space coordinate.",A,"Regardless, the Weyl–Wigner transform is a well-defined integral transform between the phase-space and operator representations, and yields insight into the workings of quantum mechanics. Most importantly, the Wigner quasi-probability distribution is the Wigner transform of the quantum density matrix, and, conversely, the density matrix is the Weyl transform of the Wigner function. 

In contrast to Weyl's original intentions in seeking a consistent quantization scheme, this map merely amounts to a change of representation within quantum mechanics; it need not connect ""classical"" with ""quantum"" quantities. For example, the phase-space function may depend explicitly on Planck's constant ħ, as it does in some familiar cases involving angular momentum.  This invertible representation change then allows one to express quantum mechanics in phase space, as was appreciated in the 1940s by Hilbrand J. Groenewold and José Enrique Moyal."
What is one of the examples of the models proposed by cosmologists and theoretical physicists without the cosmological or Copernican principles that can be used to address specific issues in the Lambda-CDM model and distinguish between current models and other possible models?,"The Copernican principle, which proposes that Earth, the Solar System, and the Milky Way are not at the centre of the universe, but instead, the universe is expanding equally in all directions. This principle is a modification of the Lambda-CDM model and has been shown to explain several observational results.","Inhomogeneous cosmology, which states that the universe is entirely homogeneous and isotropic, directly proportional to the density of matter and radiation. This model proposes that everything in the universe is completely uniform, but it does not match observations.","Inhomogeneous cosmology, which models the universe as an extremely large, low-density void, instead of using the concept of dark energy. According to the model, this theory can match the observed accelerating universe and cosmological constant, but it contradicts the Copernican principle.","The cosmological principle, which proposes that Earth, the Solar System, and the Milky Way are at the centre of the universe. This principle is a modification of the Lambda-CDM model and has been shown to explain several observational results.","The principle of dark energy, which proposes that a new form of energy, not previously detected, is responsible for the acceleration of the expansion of the universe. This principle is a modification of the Lambda-CDM model and has been shown to explain several observational results.",C,"Physics without the principle
The standard model of cosmology, the Lambda-CDM model, assumes the Copernican principle and the more general Cosmological principle. The Lambda-CDM model's observations are largely consistent, but there remain unsolved problems.  Some cosmologists and theoretical physicists have created models without the Cosmological or Copernican principles to constrain the values of observational results, to address specific known issues, and to propose tests to distinguish between current models and other possible models.

A prominent example in this context is the observed accelerating universe and cosmological constant.  Instead of using the current accepted idea of dark energy, this model proposes the universe is much more inhomogeneous than currently assumed, and instead, we are in an extremely large low-density void.  To match observations we would have to be very close to the centre of this void, immediately contradicting the Copernican principle.

See also"
What is the Roche limit?,The Roche limit is the distance at which tidal effects would cause an object to rotate since the forces exerted by two massive bodies produce a torque on a third object.,The Roche limit is the distance at which tidal effects would cause an object to unite since differential force from a planet results in parts becoming attracted to one another.,The Roche limit is the distance at which tidal effects would cause a planet to disintegrate since differential force from an object overcomes the planet's core.,The Roche limit is the distance at which tidal effects would cause an object to disintegrate since differential force from a planet overcomes the attraction of the parts between them.,"The Roche limit is the distance at which tidal effects would cause an object to break apart due to differential force from the planet overcoming the attraction of the parts of the object for one another, which depends on the object's density and composition, as well as the mass and size of the planet.",D,"In celestial mechanics, the Roche limit, also called Roche radius, is the distance from a celestial body within which a second celestial body, held together only by its own force of gravity, will disintegrate because the first body's tidal forces exceed the second body's gravitational self-attraction. Inside the Roche limit, orbiting material disperses and forms rings, whereas outside the limit, material tends to coalesce.  The Roche radius depends on the radius of the first body and on the ratio of the bodies' densities.

The term is named after Édouard Roche (,  ), who was the French astronomer who first calculated this theoretical limit in 1848.

Explanation"
What is Martin Heidegger's view on the relationship between time and human existence?,"Martin Heidegger believes that humans exist within a time continuum that is infinite and does not have a defined beginning or end. The relationship to the past involves acknowledging it as a historical era, and the relationship to the future involves creating a world that will endure beyond one's own time.","Martin Heidegger believes that humans do not exist inside time, but that they are time. The relationship to the past is a present awareness of having been, and the relationship to the future involves anticipating a potential possibility, task, or engagement.","Martin Heidegger does not believe in the existence of time or that it has any effect on human consciousness. The relationship to the past and the future is insignificant, and human existence is solely based on the present.",Martin Heidegger believes that the relationship between time and human existence is cyclical. The past and present are interconnected and the future is predetermined. Human beings do not have free will.,"Martin Heidegger believes that time is an illusion, and the past, present, and future are all happening simultaneously. Humans exist outside of this illusion and are guided by a higher power.",B,"In contrast with his former mentor Edmund Husserl, Martin Heidegger (in his Being and Time) put ontology before epistemology and thought that phenomenology would have to be based on an observation and analysis of Dasein (""being-there""), human being, investigating the fundamental ontology of the Lebenswelt (lifeworld, Husserl's term) underlying all so-called regional ontologies of the special sciences. In Heidegger's philosophy, people are thrown into the world in a given situation, but they are also a project towards the future, possibility, freedom, wait, hope, anguish. In contrast with the philosopher Kierkegaard, Heidegger wanted to explore the problem of Dasein existentially (), rather than existentielly () because Heidegger argued Kierkegaard had already described the latter with ""penetrating fashion"". Most existentialist phenomenologists were concerned with how we are constituted by our experiences and yet how we are also free in some respect to modify both ourselves and the"
"What is the ""ultraviolet catastrophe""?",It is a phenomenon that occurs only in multi-mode vibration.,It is the misbehavior of a formula for higher frequencies.,It is the standing wave of a string in harmonic resonance.,It is a flaw in classical physics that results in the misallocation of energy.,It is a disproven theory about the distribution of electromagnetic radiation.,B,"The name comes from the earliest example of such a divergence, the ""ultraviolet catastrophe"" first encountered in understanding blackbody radiation. According to classical physics at the end of the nineteenth century, the quantity of radiation in the form of light released at any specific wavelength should increase with decreasing wavelength—in particular, there should be considerably more ultraviolet light released from a blackbody radiator than infrared light. Measurements showed the opposite, with maximal energy released at intermediate wavelengths, suggesting a failure of classical mechanics. This problem eventually led to the development of quantum mechanics."
What is the most popular explanation for the shower-curtain effect?,The pressure differential between the inside and outside of the shower,The decrease in velocity resulting in an increase in pressure,The movement of air across the outside surface of the shower curtain,The use of cold water,Bernoulli's principle,E,
What is the butterfly effect?,"The butterfly effect is a physical cause that occurs when a massive sphere is caused to roll down a slope starting from a point of unstable equilibrium, and its velocity is assumed to be caused by the force of gravity accelerating it.",The butterfly effect is a distributed causality that opens up the opportunity to understand the relationship between necessary and sufficient conditions in classical (Newtonian) physics.,The butterfly effect is a proportionality between the cause and the effect of a physical phenomenon in classical (Newtonian) physics.,The butterfly effect is a small push that is needed to set a massive sphere into motion when it is caused to roll down a slope starting from a point of unstable equilibrium.,The butterfly effect is a phenomenon that highlights the difference between the application of the notion of causality in physics and a more general use of causality as represented by Mackie's INUS conditions.,E,"The Lorenz system is a system of ordinary differential equations first studied by mathematician and meteorologist Edward Lorenz. It is notable for having chaotic solutions for certain parameter values and initial conditions. In particular, the Lorenz attractor is a set of chaotic solutions of the Lorenz system. In popular media the ""butterfly effect"" stems from the real-world implications of the Lorenz attractor, i.e. that in any physical system, in the absence of perfect knowledge of the initial conditions (even the minuscule disturbance of the air due to a butterfly flapping its wings), our ability to predict its future course will always fail. This underscores that physical systems can be completely deterministic and yet still be inherently unpredictable even in the absence of quantum effects. The shape of the Lorenz attractor itself, when plotted graphically, may also be seen to resemble a butterfly."
What is the 'reactive Leidenfrost effect' observed in non-volatile materials?,"The 'reactive Leidenfrost effect' is a phenomenon where solid particles float above hot surfaces and move erratically, observed in non-volatile materials.","The 'reactive Leidenfrost effect' is a phenomenon where solid particles float above hot surfaces and move erratically, observed in volatile materials.","The 'reactive Leidenfrost effect' is a phenomenon where solid particles sink into hot surfaces and move slowly, observed in non-volatile materials.","The 'reactive Leidenfrost effect' is a phenomenon where solid particles float above cold surfaces and move erratically, observed in non-volatile materials.","The 'reactive Leidenfrost effect' is a phenomenon where solid particles sink into cold surfaces and move slowly, observed in non-volatile materials.",A,"Reactive Leidenfrost effect 

Non-volatile materials were discovered in 2015 to also exhibit a 'reactive Leidenfrost effect,' whereby solid particles were observed to float above hot surfaces and skitter around erratically. Detailed characterization of the reactive Leidenfrost effect was completed for small particles of cellulose (~0.5 mm) on high temperature polished surfaces by high speed photography. Cellulose was shown to decompose to short-chain oligomers which melt and wet smooth surfaces with increasing heat transfer associated with increasing surface temperature. Above , cellulose was observed to exhibit transition boiling with violent bubbling and associated reduction in heat transfer. Liftoff of the cellulose droplet (depicted at the right) was observed to occur above about  associated with a dramatic reduction in heat transfer."
What is reciprocal length or inverse length?,"Reciprocal length or inverse length is a quantity or measurement used in physics and chemistry. It is the reciprocal of time, and common units used for this measurement include the reciprocal second or inverse second (symbol: s−1), the reciprocal minute or inverse minute (symbol: min−1).","Reciprocal length or inverse length is a quantity or measurement used in geography and geology. It is the reciprocal of area, and common units used for this measurement include the reciprocal square metre or inverse square metre (symbol: m−2), the reciprocal square kilometre or inverse square kilometre (symbol: km−2).","Reciprocal length or inverse length is a quantity or measurement used in biology and medicine. It is the reciprocal of mass, and common units used for this measurement include the reciprocal gram or inverse gram (symbol: g−1), the reciprocal kilogram or inverse kilogram (symbol: kg−1).","Reciprocal length or inverse length is a quantity or measurement used in economics and finance. It is the reciprocal of interest rate, and common units used for this measurement include the reciprocal percent or inverse percent (symbol: %−1), the reciprocal basis point or inverse basis point (symbol: bp−1).","Reciprocal length or inverse length is a quantity or measurement used in several branches of science and mathematics. It is the reciprocal of length, and common units used for this measurement include the reciprocal metre or inverse metre (symbol: m−1), the reciprocal centimetre or inverse centimetre (symbol: cm−1).",E,"In mathematics, a multiplicative inverse or reciprocal for a number x, denoted by 1/x or x−1, is a number which when multiplied by x yields the multiplicative identity, 1. The multiplicative inverse of a fraction a/b is b/a. For the multiplicative inverse of a real number, divide 1 by the number. For example, the reciprocal of 5 is one fifth (1/5 or 0.2), and the reciprocal of 0.25 is 1 divided by 0.25, or 4. The reciprocal function, the function f(x) that maps x to 1/x, is one of the simplest examples of a function which is its own inverse (an involution).

Multiplying by a number is the same as dividing by its reciprocal and vice versa. For example, multiplication by 4/5 (or 0.8) will give the same result as division by 5/4 (or 1.25). Therefore, multiplication by a number followed by multiplication by its reciprocal yields the original number (since the product of the number and its reciprocal is 1)."
Which of the following statements is true about the categorization of planetary systems according to their orbital dynamics?,Planetary systems cannot be categorized based on their orbital dynamics.,"Planetary systems can be categorized as resonant, non-resonant-interacting, hierarchical, or some combination of these, but only based on the number of planets in the system.",Planetary systems can only be categorized as resonant or non-resonant-interacting.,"Planetary systems can be categorized as resonant, non-resonant-interacting, hierarchical, or some combination of these.",Planetary systems can only be categorized as hierarchical or non-hierarchical.,D,"Orbital dynamics
Planetary systems can be categorized according to their orbital dynamics as resonant, non-resonant-interacting, hierarchical, or some combination of these. In resonant systems the orbital periods of the planets are in integer ratios. The Kepler-223 system contains four planets in an 8:6:4:3 orbital resonance.
Giant planets are found in mean-motion resonances more often than smaller planets.
In interacting systems the planets orbits are close enough together that they perturb the orbital parameters. The Solar System could be described as weakly interacting. In strongly interacting systems Kepler's laws do not hold.
In hierarchical systems the planets are arranged so that the system can be gravitationally considered as a nested system of two-bodies, e.g. in a star with a close-in hot jupiter with another gas giant much further out, the star and hot jupiter form a pair that appears as a single object to another planet that is far enough out."
What is the propagation constant in sinusoidal waves?,The propagation constant is a measure of the amplitude of the sinusoidal wave that varies with distance.,The propagation constant is a real number that remains constant with distance due to the phase change in the sinusoidal wave.,The propagation constant is a real number that varies with distance due to the phase change in the sinusoidal wave.,The propagation constant is a complex number that varies with distance due to the phase change in the sinusoidal wave.,The propagation constant is a complex number that remains constant with distance due to the phase change in the sinusoidal wave.,D,"In physics, a sinusoidal (or monochromatic) plane wave is a special case of plane wave: a field whose value varies as a sinusoidal function of time and of the distance from some fixed plane.

For any position  in space and any time , the value of such a field can be written as

where  is a unit-length vector, the direction of propagation of the wave, and """" denotes the dot product of two vectors.  The parameter , which may be a scalar or a vector, is called the amplitude of the wave; the coefficient , a positive scalar, its spatial frequency; and the adimensional scalar , an angle in radians, is its initial phase or phase shift.

The scalar quantity  gives the (signed) displacement of the point  from the plane that is perpendicular to  and goes through the origin of the coordinate system.  This quantity is constant over each plane perpendicular to .

At time , the field  varies with the displacement  as a sinusoidal function"
What is the gravitomagnetic interaction?,The gravitomagnetic interaction is a force that is produced by the rotation of atoms in materials with linear properties that enhance time-varying gravitational fields.,"The gravitomagnetic interaction is a force that acts against gravity, produced by materials that have nonlinear properties that enhance time-varying gravitational fields.","The gravitomagnetic interaction is a new force of nature generated by rotating matter, whose intensity is proportional to the rate of spin, according to the general theory of relativity.","The gravitomagnetic interaction is a force that occurs in neutron stars, producing a gravitational analogue of the Meissner effect.",The gravitomagnetic interaction is a force that is produced by the rotation of atoms in materials of different gravitational permeability.,C,"Higher-order effects
Some higher-order gravitomagnetic effects can reproduce effects reminiscent of the interactions of more conventional polarized charges. For instance, if two wheels are spun on a common axis, the mutual gravitational attraction between the two wheels will be greater if they spin in opposite directions than in the same direction. This can be expressed as an attractive or repulsive gravitomagnetic component.

Gravitomagnetic arguments also predict that a flexible or fluid toroidal mass undergoing minor axis rotational acceleration (accelerating ""smoke ring"" rotation) will tend to pull matter through the throat (a case of rotational frame dragging, acting through the throat). In theory, this configuration might be used for accelerating objects (through the throat) without such objects experiencing any g-forces."
What did Newton's manuscripts of the 1660s show?,Newton learned about tangential motion and radially directed force or endeavour from Hooke's work.,Newton's manuscripts did not show any evidence of combining tangential motion with the effects of radially directed force or endeavour.,Newton combined tangential motion with the effects of radially directed force or endeavour and expressed the concept of linear inertia.,Newton's manuscripts showed that he learned about the inverse square law from Hooke's private papers.,"Newton's manuscripts showed that he was indebted to Descartes' work, published in 1644, for the concept of linear inertia.",C,
